Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
P08709	P13726	2155	2152	F7	F3	16289811:0114:LC|16487703:0114:LC|12954057:0114:LC|15913999:0114:LC|PDB_3TH3:0114:LC|15504346:0114:LC|PDB_4IBL:0114:LC|9925787:0492:LC|PDB_2ZP0:0114:LC|12787023:0492:LC|PDB_3TH4:0114:LC|15664864:0114:LC|17505107:0114:LC|16460932:0114:LC|9925787:0114:LC|15629154:0114:LC|17456045:0114:LC|PDB_1J9C:0114:LC|15607748:0114:LC|PDB_3TH2:0114:LC|9414278:0411:LC|16412633:0114:LC|12787023:0096:LC|18640965:0114:LC|PDB_2ZWL:0114:LC|16757484:0114:LC|16125385:0114:LC|8940045:0411:LC|15522303:0114:LC|20045964:0114:LC|8598903:0114:LC|26694616:0114:LC|PDB_2B8O:0114:LC|16510984:0114:LC
P08709	Q86SE7	2155		F7	Q86SE7	16621549:0114:LC
P08754	P41220	2773	5997	GNAI3	RGS2	19478087:0114:LC
P08754	P48039	2773	4543	GNAI3	MTNR1A	17215244:0676:LC|10598579:0004:LC|17215244:0004:LC|17215244:0493:LC|10598579:0493:LC|17215244:0492:LC|10598579:0492:LC|10598579:0024:LC
P08754	P49795	2773	10287	GNAI3	RGS19	8986788:0096:LC|8986788:0024:LC|8524874:0096:LC|10364213:0018:LC|8524874:0492:LC|8986788:0492:LC|8524874:0493:LC|8986788:0018:LC|8986788:0493:LC|8524874:0018:LC
P08754	P50052	2773	186	GNAI3	AGTR2	11055978:0492:LC|8663053:0492:LC
P08754	P57771	2773	85397	GNAI3	RGS8	18434541:0114:LC
P08754	P62873	2773	2782	GNAI3	GNB1	16371464:0055:LC|22186894:0055:LC
P08754	Q02818	2773	4924	GNAI3	NUCB1	9647645:0018:LC|11752444:0018:LC|11752444:0493:LC|9647645:0493:LC|11752444:0492:LC|9647645:0492:LC|21988832:0018:HT
P08754	Q9NS28	2773	64407	GNAI3	RGS18	11955952:0492:LC|11563974:0492:LC|11955952:0096:LC|11563974:0096:LC
P08758	P08758	308	308	ANXA5	ANXA5	9398511:0114:LC|1446685:0114:LC|8254674:0114:LC
P08865	P63220	3921	6227	RPSA	RPS21	10079194:0492:LC|16169070:0398:HT|16189514:0492:HT|16189514:0018:HT|10079194:0018:LC|16169070:0018:HT
P08865	Q15046	3921	3735	RPSA	KARS	24212136:0007:LC|24212136:0096:LC|24983501:0077:LC|24983501:0071:LC|24983501:0107:LC|24212136:0006:LC|22751010:0018:LC|22751010:0004:LC|24212136:0018:LC
P08887	P40189	3570	3572	IL6R	IL6ST	2788034:0004:LC|2788034:0492:LC|2788034:0007:LC|2788034:0024:LC|12829785:0114:LC
P08908	P08908	3350	3350	HTR1A	HTR1A	22553035:0055:LC|11854302:0493:LC|11854302:0019:LC|22035699:0012:LC
P08908	P11362	3350	2260	HTR1A	FGFR1	22553035:0007:LC|22035699:0813:LC|22035699:0012:LC|22553035:0055:LC|22035699:0663:LC|22553035:0006:LC|22553035:0813:LC
P08908	P28222	3350	3351	HTR1A	HTR1B	11854302:0493:LC|11854302:0492:LC|11854302:0024:LC|22035699:0012:LC|11854302:0019:LC
P08913	P09471	150	2775	ADRA2A	GNAO1	7887906:0492:LC|11732925:0493:LC|7887906:0493:LC|11732925:0492:LC|16352729:0055:LC
P08922	P29350	6098	5777	ROS1	PTPN6	11266449:0024:LC|17416557:0434:LC|11266449:0493:LC|11266449:0004:LC|11266449:0018:LC|11266449:0019:LC|11266449:0096:LC|11266449:0415:LC
P08949	P28336	4828	4829	NMB	NMBR	8392057:0493:LC|8392057:0024:LC|10544247:0493:LC|8253343:0493:LC|8392057:0096:LC
P08962	P21926	967	928	CD63	CD9	11204565:0493:LC|12175627:0493:LC|8630057:0493:LC|8630057:0004:LC|12175627:0024:LC
P08962	Q9BTU6	967	55361	CD63	PI4K2A	9006891:0493:LC|11113129:0493:LC
P09012	P09012	6626	6626	SNRPA	SNRPA	24482444:0114:LC|25416956:0397:HT|25416956:0018:HT|19228039:0114:LC|17196404:0114:LC|11298439:0114:LC|18548004:0114:LC|16189514:0398:HT|21857665:0114:LC|19948769:0114:LC|10742179:0018:LC|16189514:0018:HT|7984237:0018:LC|2147232:0114:LC|7984237:0492:LC|10688667:0096:LC|16189514:0492:HT|12876372:0114:LC|10742179:0492:LC|10742179:0114:LC|7984237:0114:LC|10688667:0018:LC|19965478:0114:LC|12376595:0114:LC|26655897:0114:LC
P09038	P11362	2247	2260	FGF2	FGFR1	23597562:0099:LC|11030354:0492:LC|10950949:0019:LC|7730326:0030:LC|11030354:0493:LC|10490103:0114:LC|26267536:0107:LC|1722683:0030:LC|10950949:0492:LC|10950949:0493:LC|10950949:0096:LC|11030354:0114:LC|23597563:0077:LC
P09038	P21802	2247	2263	FGF2	FGFR2	17981115:0411:LC|11390973:0114:LC|10830168:0114:LC|26267536:0077:LC
P09038	P22607	2247	2261	FGF2	FGFR3	9045692:0019:LC|10574949:0493:LC
P09038	P26022	2247	5806	FGF2	PTX3	22267482:0411:LC|16020751:0405:LC|22267482:0030:LC|16020751:0492:LC|22267482:0892:LC
P09038	P98160	2247	3339	FGF2	HSPG2	24509440:0411:LC|11847221:0493:LC|19422911:0047:LC
P09038	Q14512	2247	9982	FGF2	FGFBP1	15806171:0019:LC|16257968:0108:LC|16257968:0107:LC|16257968:0405:LC|11509569:0096:LC|11509569:0493:LC
P09104	P09104	2026	2026	ENO2	ENO2	PDB_4ZCW:0114:LC|15289101:0114:LC|16411755:0114:LC|22437160:0114:LC|PDB_4ZA0:0114:LC
P09110	P09110	30	30	ACAA1	ACAA1	PDB_2IIK:0114:LC
P09132	P09132	6728	6728	SRP19	SRP19	20179341:0114:LC
P09132	P61011	6728	6729	SRP19	SRP54	12244299:0492:LC|12244299:0114:LC
P09172	P09172	1621	1621	DBH	DBH	27152332:0114:LC|3972830:0493:LC
P09210	P09210	2939	2939	GSTA2	GSTA2	22444596:0114:LC
P09211	P09211	2950	2950	GSTP1	GSTP1	12473455:0114:LC|16195232:0114:LC|9426214:0114:LC|10452896:0114:LC|PDB_1PX6:0114:LC|9398518:0492:LC|9351803:0114:LC|10441116:0114:LC|9012673:0114:LC|19808963:0114:LC|18511072:0114:LC|19396894:0114:LC|9166793:0114:LC|PDB_3KMN:0114:LC|10970734:0114:LC|PDB_1KBN:0114:LC|PDB_3KMO:0114:LC|20540076:0114:LC|9665696:0114:LC|12937169:0114:LC|9398518:0114:LC|19780048:0114:LC|12414796:0114:LC|PDB_17GS:0114:LC|1522586:0114:LC|PDB_3N9J:0114:LC|9245401:0114:LC|18177897:0114:LC|PDB_1PX7:0114:LC|16597834:0114:LC
P09237	P09237	4316	4316	MMP7	MMP7	7756291:0114:LC
P09238	P09238	4319	4319	MMP10	MMP10	15095982:0114:LC|24073280:0114:LC|10579818:0114:LC
P09238	P16035	4319	7077	MMP10	TIMP2	24073280:0114:LC
P09326	Q9BZW8	962	51744	CD48	CD244	16002700:0054:LC|9834056:0493:LC|9834056:0492:LC|11163399:0492:LC|11163399:0493:LC
P09327	P09327	7429	7429	VIL1	VIL1	17606613:0030:LC|17606613:0071:LC|19491107:0114:LC|17606613:0096:LC|17606613:0055:LC|17606613:0029:LC
P09341	P09341	2919	2919	CXCL1	CXCL1	8089846:0114:LC|8397104:0114:LC|8397104:0492:LC|8397104:0077:LC|8089846:0492:LC|7806518:0114:LC|7806518:0492:LC
P09341	P25024	2919	3577	CXCL1	CXCR1	8702798:0493:LC|1379593:0493:LC|8702798:0024:LC
P09341	P25025	2919	3579	CXCL1	CXCR2	9126332:0405:LC|12628493:0405:LC|8702798:0405:LC|8662882:0405:LC|12549928:0405:LC|8702798:0493:LC|7592830:0405:LC
P09341	Q16570	2919	2532	CXCL1	ACKR1	8132497:0405:LC|9195930:0405:LC|7592830:0492:LC|7592830:0493:LC|7592830:0405:LC|7592830:0401:LC
P09341	Q53PC4	2919		CXCL1	IL8RB	8702798:0493:LC|8550564:0493:LC|1379593:0493:LC|8940121:0493:LC
P09382	P09382	3956	3956	LGALS1	LGALS1	PDB_4Y20:0114:LC|PDB_3W58:0114:LC|PDB_4Y1V:0114:LC|18796645:0114:LC|15476813:0114:LC|PDB_4Q26:0114:LC|PDB_4Q1R:0114:LC|27416897:0114:LC|PDB_4Y1U:0114:LC|PDB_4Q2F:0114:LC|PDB_3W59:0114:LC|20184898:0114:LC|20826047:0114:LC|22136701:0114:LC|PDB_4Y1Z:0114:LC|PDB_4Q1P:0114:LC|25945972:0114:LC|PDB_4Y22:0114:LC|PDB_4Y1Y:0114:LC|PDB_4Q27:0114:LC|PDB_4Y1X:0114:LC
P09382	P16150	3956	6693	LGALS1	SPN	19635795:0030:LC|10490978:0007:LC|10490978:0004:LC|17015718:0107:LC|10490978:0493:LC|10490978:0492:LC|10490978:0024:LC
P09417	P09417	5860	5860	QDPR	QDPR	11461190:0018:LC|25416956:0397:HT|25416956:0018:HT
P09429	P10275	3146	367	HMGB1	AR	11748221:0492:LC|9671457:0096:LC|9671457:0493:LC|11748221:0493:LC|9671457:0492:LC
P09429	P21675	3146	6872	HMGB1	TAF1	11748221:0492:LC|9880542:0492:LC|9880542:0024:LC
P09429	Q15109	3146	177	HMGB1	AGER	9812979:0024:LC|24474694:0107:LC|9812979:0492:LC
P09429	Q53GA5	3146		HMGB1	Q53GA5	11748221:0492:LC|11748221:0096:LC|11106654:0493:LC|11106654:0492:LC|11106654:0096:LC|9472015:0492:LC|9472015:0493:LC|11748221:0493:LC|11106654:0004:LC
P09467	P09467	2203	2203	FBP1	FBP1	16169070:0492:HT|16189514:0398:HT|25416956:1112:HT|16442285:0114:LC|21516116:0018:HT|16446092:0114:LC|16189514:0492:HT|16169070:0398:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|19762234:0114:LC|7961695:0114:LC|18650089:0114:LC|21550236:0114:LC|2164670:0018:LC|16169070:0018:HT|2164670:0492:LC|2164670:0114:LC|20045638:0114:LC
P09471	P41143	2775	4985	GNAO1	OPRD1	8393523:0004:LC|11259487:0493:LC|8393523:0493:LC
P09471	P49795	2775	10287	GNAO1	RGS19	8986788:0492:LC|8986788:0018:LC|8986788:0024:LC|10364213:0018:LC
P09486	P09486	6678	6678	SPARC	SPARC	8119487:0114:LC|9233787:0114:LC|3402455:0492:LC|9233787:0492:LC|2745554:0492:LC|9501084:0114:LC
P09488	P09488	2944	2944	GSTM1	GSTM1	1530570:0492:LC|16548513:0114:LC|PDB_1YJ6:0114:LC|9930979:0114:LC|3419925:0114:LC
P09488	P28161	2944	2946	GSTM1	GSTM2	12192076:0024:LC|12192076:0492:LC|6500576:0492:LC|12192076:0096:LC
P09488	Q99683	2944	4217	GSTM1	MAP3K5	11278289:0493:LC|11278289:0492:LC|12077134:0004:LC|12077134:0492:LC|12077134:0493:LC|12077134:0024:LC
P09493	P13805	7168	7138	TPM1	TNNT1	8987992:0492:LC|21516116:0018:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|3611073:0492:LC|6822572:0492:LC|6822572:0096:LC|25416956:1356:HT
P09496	Q00610	1211	1213	CLTA	CLTC	12426379:0492:LC|2406259:0018:LC|2406259:0492:LC|12426379:0018:LC
P09497	P19784	1212	1459	CLTB	CSNK2A2	2874131:0492:LC|3128543:0492:LC
P09497	Q00610	1212	1213	CLTB	CLTC	15533940:0492:LC|12426379:0492:LC|12426379:0018:LC|15533940:0018:LC
P09529	P36896	3625	91	INHBB	ACVR1B	15196700:0493:LC|15196700:0024:LC|12032389:0493:LC|11266516:0493:LC
P09601	P09601	3162	3162	HMOX1	HMOX1	15525643:0114:LC|19954435:0114:LC|15522396:0114:LC|12842469:0114:LC|15049686:0114:LC|15297453:0114:LC|PDB_1N45:0114:LC|19601578:0114:LC|12500973:0114:LC|12500973:0492:LC|PDB_5BTQ:0114:LC|PDB_4WD4:0114:LC|18798608:0114:LC|22276118:0114:LC
P09603	P09603	1435	1435	CSF1	CSF1	8422357:0492:LC|22153499:1022:LC|22902366:0071:LC|22153499:0071:LC|22902366:1022:LC|22153499:0067:LC|26235028:0114:LC|22153499:0808:LC|22902366:0114:LC|22902366:0067:LC|1733926:0492:LC
P09619	P09619	5159	5159	PDGFRB	PDGFRB	15889147:0030:LC|15889147:0019:LC|11046132:0047:LC|18505839:0808:LC|22619173:0114:LC|15889147:0055:LC
P09619	P19174	5159	5335	PDGFRB	PLCG1	11896612:0019:LC|1396585:0019:LC|15641795:0077:LC
P09619	P20936	5159	5921	PDGFRB	RASA1	2157284:0019:LC|1314164:0019:LC|8382774:0019:LC|1385407:0019:LC|1375321:0019:LC|8344248:0019:LC|1385407:0004:LC
P09619	P27986	5159	5295	PDGFRB	PIK3R1	7680644:0030:LC|7876130:0047:LC|1372092:0004:LC|8670861:0077:LC|7536927:0107:LC|1330535:0017:LC|1314164:0019:LC|1330535:0013:LC|11710529:0018:LC|10752619:0065:LC|1330535:0016:LC|8388538:0107:LC|7876130:0004:LC|8382612:0077:LC|1372092:0047:LC|1372092:0493:LC|11896612:0019:LC|11567151:0114:LC
P09619	Q05209	5159	5782	PDGFRB	PTPN12	21376233:0809:LC|19167335:0434:HT
P09619	Q06124	5159	5781	PDGFRB	PTPN11	8538796:0114:LC|7530043:0107:LC|8119896:0415:LC
P09619	Q12913	5159	5795	PDGFRB	PTPRJ	10821867:0401:LC|10821867:0019:LC|19167335:0434:HT|10821867:0434:LC
P09622	P09622	1738	1738	DLD	DLD	16263718:0114:LC|15576032:0493:LC
P09651	P09651	3178	3178	HNRNPA1	HNRNPA1	23455423:0027:LC|23455423:0020:LC|23455423:0017:LC|10772858:0096:LC|10772858:0018:LC
P09651	Q92973	3178	3842	HNRNPA1	TNPO1	17435768:0065:LC|16901787:0114:LC|9144189:0492:LC|17435768:0096:LC
P09651	Q99873	3178	3276	HNRNPA1	PRMT1	19101556:0096:LC|8663146:0415:LC|9891755:0492:LC|9891755:0493:LC|19101556:0415:LC|8288564:0493:LC|8288564:0492:LC|19101556:0004:LC|17264152:0415:LC
P09661	P09661	6627	6627	SNRPA1	SNRPA1	9716128:0114:LC
P09681	P48546	2695	2696	GIP	GIPR	7589426:0493:LC|8795084:0493:LC|17715056:0016:LC|12627975:0493:LC|17715056:0114:LC|17715056:0065:LC|15655707:0493:LC
P09683	P47872	6343	6344	SCT	SCTR	7782300:0493:LC|9440501:0096:LC|9440501:0493:LC|7782300:0492:LC|9440501:0492:LC|7782300:0024:LC|8579602:0493:LC|8579602:0492:LC
P09769	P12931	2268	6714	FGR	SRC	7678701:0492:LC|9208935:0492:LC|12468645:0492:LC|12387813:0492:LC
P09769	P22681	2268	867	FGR	CBL	12435267:0004:LC|7721825:0493:LC|12435267:0493:LC|12435267:0024:LC
P09769	P37840	2268	6622	FGR	SNCA	11744621:0492:LC|11162638:0493:LC|11162638:0492:LC|12096713:0492:LC|12096713:0493:LC|11744621:0493:LC
P09769	P41240	2268	1445	FGR	CSK	7515063:0493:LC|8612628:0493:LC
P09769	P42768	2268	7454	FGR	WAS	7565724:0492:LC|7565724:0493:LC|7565724:0096:LC|10358777:0024:LC|8824280:0096:LC|10358777:0493:LC|10358777:0492:LC|8824280:0492:LC|8824280:0493:LC
P09769	P43405	2268	6850	FGR	SYK	11672534:0004:LC|15536084:0018:LC|11672534:0492:LC|11672534:0493:LC|11672534:0024:LC
P09871	P09871	716	716	C1S	C1S	23592783:0114:LC|23922389:0114:LC|12788922:0492:LC|2387866:0071:LC|12788922:0114:LC
P09874	P09874	142	142	PARP1	PARP1	15293985:0114:LC|PDB_4R5W:0114:LC|15737996:0415:LC|23481255:0415:LC|25673562:0415:LC|PDB_4RV6:0114:LC|PDB_4UXB:0114:LC|22683995:0114:LC|26222319:0114:LC|21233213:0114:LC|22362888:0096:LC|17283121:0415:LC|PDB_4R6E:0114:LC|23742272:0114:LC|PDB_5HA9:0114:LC|23850199:0114:LC|22683995:0004:LC|12519782:0492:LC|24922587:0114:LC|15733846:0114:LC|14706823:0114:LC|26344098:0114:LC|25195882:0114:LC|23473053:0114:LC|20388712:0114:LC|PDB_4UND:0114:LC|22362888:0415:LC|14734561:0415:LC
P09874	P09884	142	5422	PARP1	POLA1	9518481:0004:LC|9518481:0492:LC|9518481:0493:LC|9518481:0047:LC|9563011:0493:LC|9563011:0492:LC
P09874	P10144	142	3002	PARP1	GZMB	16798735:0435:LC|12745270:0435:LC
P09874	P12956	142	2547	PARP1	XRCC6	17283121:0006:LC|14734561:0007:LC|14734561:0071:LC|14734561:0415:LC|14734561:0096:LC|17283121:0493:LC|17283121:0004:LC
P09874	P13010	142	7520	PARP1	XRCC5	14734561:0096:LC|14734561:0493:LC|14734561:0007:LC|14734561:0492:LC|14734561:0415:LC|17283121:0492:LC|17283121:0004:LC|17283121:0006:LC|17283121:0493:LC
P09874	P42574	142	836	PARP1	CASP3	7596430:0013:LC|17167422:0435:LC|18723680:0415:LC|9875225:0415:LC|22451931:0415:LC|7596430:0401:LC|19713971:0415:LC|7596430:0415:LC|9875225:0435:LC|19549685:0415:LC|7596430:0071:LC
P09874	P55210	142	840	PARP1	CASP7	9875225:0435:LC|9875225:0415:LC|18723680:0415:LC|22451931:0415:LC
P09874	P63279	142	7329	PARP1	UBE2I	19596686:0415:LC|9197546:0004:LC|9197546:0018:LC|23871147:0415:LC|15561718:0415:LC|9197546:0096:LC|23871147:0096:LC
P09874	Q53GA5	142		PARP1	Q53GA5	14627987:0493:LC|14627987:0492:LC|14627987:0096:LC|12898523:0493:LC|9565608:0493:LC|9565608:0492:LC|12898523:0096:LC|9565608:0047:LC|12898523:0492:LC
P09874	Q59HH7	142		PARP1	Q59HH7	9584196:0096:LC|15555565:0018:LC|15555565:0493:LC|14500814:0493:LC|9584196:0018:LC|9584196:0493:LC|14500814:0018:LC
P09874	Q7Z2E3	142	54840	PARP1	APTX	15555565:0004:LC|15044383:0004:LC|15555565:0007:LC|15555565:0018:LC|15044383:0493:LC|15044383:0006:LC|15044383:0096:LC
P09874	Q9UNS1	142	8914	PARP1	TIMELESS	26344098:0114:LC
P09884	P09884	5422	5422	POLA1	POLA1	27032819:0114:LC|25429975:0114:LC
P09884	P24941	5422	1017	POLA1	CDK2	11259605:0004:LC|11259605:0492:LC|11259605:0415:LC|10877824:0415:LC|11259605:0493:LC
P09913	P09913	3433	3433	IFIT2	IFIT2	22825553:0114:LC
P09914	P09914	3434	3434	IFIT1	IFIT1	23334420:0114:LC
P09914	P60228	3434	3646	IFIT1	EIF3E	10644362:0492:LC|11118224:0018:LC|11118224:0493:LC|11118224:0492:LC|11118224:0024:LC|10644362:0004:LC|10644362:0018:LC|10644362:0493:LC
P09917	P09917	240	240	ALOX5	ALOX5	21233389:0114:LC|22516296:0114:LC
P09917	P49137	240	9261	ALOX5	MAPKAPK2	24860872:0424:LC|10779545:0492:LC|11844797:0492:LC|11844797:0415:LC
P09917	P62993	240	2885	ALOX5	GRB2	7929073:0492:LC|8585605:0492:LC|7929073:0096:LC|8585605:0096:LC
P09917	Q14019	240	23406	ALOX5	COTL1	11297527:0004:LC|10051563:0492:LC|10051563:0018:LC|10051563:0493:LC|11297527:0096:LC|11297527:0019:LC|11297527:0493:LC|11297527:0018:LC|11297527:0492:LC
P09917	Q9UPY3	240	23405	ALOX5	DICER1	19022417:0096:LC|10051563:0018:LC|19022417:0004:LC|19022417:0018:LC
P09919	P09919	1440	1440	CSF3	CSF3	7685117:0114:LC
P09919	Q99062	1440	1441	CSF3	CSF3R	10364174:0493:LC|16492764:0114:LC|10537111:0114:LC|10364174:0024:LC
P09936	P09936	7345	7345	UCHL1	UCHL1	16537382:0114:LC|22617491:0114:LC|PDB_4JKJ:0114:LC|20439756:0114:LC
P09936	P0CG48	7345	7316	UCHL1	UBC	20622874:0415:LC|20439756:0114:LC|22284438:0415:LC|16169070:0018:HT|20439756:0415:LC|20439756:0096:LC
P09958	P09958	5045	5045	FURIN	FURIN	11237874:0493:LC|1629222:0493:LC
P09958	Q59FG2	5045		FURIN	Q59FG2	8546712:0493:LC|8546712:0492:LC|2112085:0493:LC|2112085:0492:LC
P09958	Q6VY07	5045	55690	FURIN	PACS1	11331585:0492:LC|11331585:0493:LC|9695949:0493:LC|9695949:0492:LC|9695949:0018:LC|9695949:0096:LC
P0C0L4	P0C0L4	720	720	C4A	C4A	22949645:0114:LC
P0C0S5	Q9BTT0	3015	81611	H2AFZ	ANP32E	24463511:0114:LC
P0C1Z6	Q9UBB9	29844	24144	TFPT	TFIP11	27107012:1356:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|27107012:2215:LC
P0C7T5	P54253	342371	6310	ATXN1L	ATXN1	16121196:0018:LC|16121196:0004:LC|16713569:0018:HT
P0CG05	P0CG05	3538	3538	IGLC2	IGLC2	15299564:0114:LC|18566514:0114:LC|18241888:0114:LC
P0CG05	S6C4S0	3538		IGLC2	S6C4S0	24717798:0114:LC
P0CG29	P0CG29	2953	2953	GSTT2	GSTT2	9551553:0492:LC|PDB_4MPF:0114:LC
P0CG30	P0CG30	653689	653689	GSTT2B	GSTT2B	9551553:0492:LC|PDB_4MPG:0114:LC|9551553:0114:LC
P0CG47	P0CG47	7314	7314	UBB	UBB	PDB_5JBY:0114:LC|23563141:0114:LC|26971995:0114:LC|26010437:0114:LC|27259151:0114:LC|26750481:0114:LC
P0CG47	P15374	7314	7347	UBB	UCHL3	16905103:0415:LC|15531586:0114:LC
P0CG47	P30304	7314	993	UBB	CDC25A	10827953:0492:LC|12234927:0493:LC|10827953:0493:LC|12234927:0492:LC
P0CG47	P46527	7314	1027	UBB	CDKN1B	16123592:0492:LC|15469821:0492:LC|15469821:0019:LC|16209941:0492:LC
P0CG47	P54252	7314	4287	UBB	ATXN3	12857950:0492:LC|16525503:0416:LC
P0CG47	P61077	7314	7323	UBB	UBE2D3	27182664:0114:LC
P0CG47	P61086	7314	3093	UBB	UBE2K	26592444:0114:LC
P0CG47	P62068	7314	64854	UBB	USP46	26388029:0114:LC
P0CG47	P62837	7314	7322	UBB	UBE2D2	26656854:0114:LC
P0CG47	Q13351	7314	10661	UBB	KLF1	24139988:0114:LC
P0CG47	Q16186	7314	11047	UBB	ADRM1	25702870:0114:LC|25702872:0114:LC
P0CG47	Q6ZSG1	7314	494470	UBB	RNF165	26656854:0114:LC
P0CG47	Q96BN8	7314	90268	UBB	OTULIN	23746843:0114:LC
P0CG47	Q9NYG5	7314	51529	UBB	ANAPC11	27259151:0114:LC
P0CG47	Q9UK80	7314	27005	UBB	USP21	21399617:0114:LC
P0CG47	Q9UM54	7314	4646	UBB	MYO6	26971995:0114:LC
P0CG47	Q9UNA4	7314	11201	UBB	POLI	24789524:0114:LC|16763556:0018:LC
P0CG47	Q9Y3C5	7314	26994	UBB	RNF11	15231748:0018:HT|14755250:0007:LC|14755250:0018:LC
P0CG47	Q9Y5K5	7314	51377	UBB	UCHL5	25702870:0114:LC
P0CG47	Q9Y6H5	7314	9627	UBB	SNCAIP	16174773:0493:LC|15105460:0493:LC|15105460:0492:LC|16174773:0492:LC|15105460:0019:LC
P0CG47	Q9Y6K9	7314	8517	UBB	IKBKG	14695475:0492:LC|14695475:0493:LC|16267042:0493:LC|16267042:0492:LC|14695475:0045:LC
P0CG48	P0CG48	7316	7316	UBC	UBC	20728431:0114:LC|22367539:0114:LC|19731378:0114:LC|21900242:0114:LC|23287719:0114:LC|25752577:0096:LC|22542781:0114:LC|15937902:0114:LC|23955022:0114:LC|PDB_4K7U:0114:LC|17550252:0114:LC|16647719:0114:LC|19664638:0114:LC|PDB_4K7S:0114:LC|22367539:0808:LC|PDB_2ZCB:0114:LC|19373254:0004:LC|11733996:0114:LC|18724939:0114:LC|20622874:0096:LC|19030552:0114:LC|21455180:0808:LC|11173499:0114:LC|26436197:0114:LC|23287719:0686:LC|PDB_4HK2:0114:LC|23827681:0114:LC|23823328:0114:LC|20622874:0114:LC|26949039:0114:LC|25752577:0114:LC|22139374:0114:LC|21455181:0808:LC|8107144:0114:LC|PDB_2RR9:0114:LC|PDB_4K7W:0114:LC|21757738:0096:LC|23123110:0114:LC|27050132:0114:LC|19465916:0808:LC|20133640:0808:LC|21757738:0055:LC|PDB_2JRI:0114:LC|19683493:0114:LC|22352468:0114:LC|19766637:0114:LC|19373254:0114:LC|12507430:0114:LC
P0CG48	P12004	7316	5111	UBC	PCNA	18719106:0004:LC|18316726:0007:LC|18719106:0007:LC|18316726:0004:LC|18719106:0808:LC|22592530:0114:LC|18719106:0006:LC|20305653:0114:LC|18316726:0808:LC|18316726:0006:LC|21422291:0808:LC
P0CG48	P14735	7316	3416	UBC	IDE	21185309:0096:LC|21185309:0415:LC|21185309:0114:LC
P0CG48	P15374	7316	7347	UBC	UCHL3	10518943:0096:LC|15531586:0415:LC|20622874:0415:LC|10518943:0114:LC|27066941:0415:LC|22284438:0415:LC|25590432:0415:LC|9521656:0415:LC|15531586:0114:LC
P0CG48	P21580	7316	7128	UBC	TNFAIP3	19373254:0415:LC|20622874:0415:LC|21095585:0114:LC|23032187:0096:LC|23827681:0415:LC|15334086:0415:LC|23032187:0114:LC|14748687:0415:LC
P0CG48	P22314	7316	7317	UBC	UBA1	24816100:0114:LC|17597759:0096:LC|17597759:0808:LC|24816100:0401:LC|21209336:0808:LC
P0CG48	P22681	7316	867	UBC	CBL	17679095:0114:LC|15117950:0415:LC|23851457:0114:LC|14661060:0415:LC|17679095:0096:LC
P0CG48	P25963	7316	4792	UBC	NFKBIA	18723677:0808:LC|17206147:0808:LC
P0CG48	P32121	7316	409	UBC	ARRB2	15782195:0055:LC|15782195:0004:LC|21378163:0055:LC
P0CG48	P38398	7316	672	UBC	BRCA1	17873885:0808:LC|17349954:0415:LC
P0CG48	P40818	7316	9101	UBC	USP8	25527291:0415:LC|23287719:0114:LC|25485838:0415:LC|23287719:0686:LC|17711858:0415:LC|22195557:0415:LC
P0CG48	P45974	7316	8078	UBC	USP5	20622874:0415:LC|19373254:0415:LC|27066941:0415:LC|PDB_3IHP:0114:LC|16564012:0114:LC|22216260:0096:LC|16564012:0096:LC|22216260:0415:LC
P0CG48	P46934	7316	4734	UBC	NEDD4	23644597:0415:LC|25438670:0096:LC|26949039:0114:LC|21399620:0114:LC|25438670:0415:LC|21399620:0096:LC|25438670:0114:LC
P0CG48	P49427	7316	997	UBC	CDC34	22496338:0415:LC|22959436:0415:LC|24316736:0077:LC|20353940:0114:LC|23801757:0415:LC|20353940:0096:LC|24316736:0055:LC|18723677:0808:LC|24316736:0096:LC|24912152:0415:LC|24316736:0114:LC
P0CG48	P51668	7316	7321	UBC	UBE2D1	22842904:0808:LC|22842904:0114:LC|21396940:0114:LC|17218787:0114:LC|21095585:0114:LC|21857666:0808:LC
P0CG48	P54252	7316	4287	UBC	ATXN3	20865150:0415:LC|25448680:0114:LC|18599482:0096:LC|20622874:0415:LC|25231079:0114:LC|25231079:0096:LC|20865150:0004:LC|PDB_2JRI:0114:LC|25527291:0415:LC|21118805:0415:LC|18599482:0415:LC|25448680:0415:LC|20865150:0096:LC|23625928:0415:LC
P0CG48	P54578	7316	9097	UBC	USP14	27066941:0415:LC|16211010:0114:LC
P0CG48	P54725	7316	5886	UBC	RAD23A	22542781:0096:LC|22542781:0114:LC|23562397:0077:LC|16007098:0096:LC|17408689:0004:LC|17408689:0096:LC|24318982:0114:LC|23823328:0096:LC|16007098:0107:LC|17408689:0114:LC|23823328:0077:LC|23562397:0096:LC|14621999:0114:LC|16007098:0077:LC
P0CG48	P55036	7316	5710	UBC	PSMD4	8570649:0047:LC|15826667:0096:LC|17368669:0114:LC|15826667:0114:LC|15826667:0492:LC|15826667:0004:LC|8570649:0096:LC|19798103:0107:LC|19683493:0114:LC
